"","age","sex","N","year"
"1",0,"male",129154.433393124,2010
"2",5,"male",135228.270625828,2010
"3",10,"male",138113.699933674,2010
"4",15,"male",139742.626676001,2010
"5",20,"male",122128.647923623,2010
"6",25,"male",102509.030959068,2010
"7",30,"male",102054.974918819,2010
"8",35,"male",102585.496586418,2010
"9",40,"male",86874.0295025813,2010
"10",45,"male",72721.3540661949,2010
"11",50,"male",63377.9301592708,2010
"12",55,"male",51264.1303734227,2010
"13",60,"male",41276.1088809732,2010
"14",65,"male",31991.6797852749,2010
"15",70,"male",25405.1709235082,2010
"16",75,"male",15536.5080244222,2010
"17",80,"male",9072.75617902583,2010
"18",85,"male",7372.57430000277,2010
"19",0,"female",124241.701250244,2010
"20",5,"female",130315.150644239,2010
"21",10,"female",133478.418179534,2010
"22",15,"female",136846.004749421,2010
"23",20,"female",121758.530469189,2010
"24",25,"female",106193.71766087,2010
"25",30,"female",105775.045582318,2010
"26",35,"female",105844.881917013,2010
"27",40,"female",90324.6220131116,2010
"28",45,"female",77860.091052755,2010
"29",50,"female",68683.7472839369,2010
"30",55,"female",53149.6698859721,2010
"31",60,"female",42714.5019333079,2010
"32",65,"female",32344.590739021,2010
"33",70,"female",25852.8437690723,2010
"34",75,"female",16275.8466393297,2010
"35",80,"female",10485.5645526782,2010
"36",85,"female",9660.44245905498,2010
"37",0,"male",120765.192301537,2019
"38",5,"male",128422.188345502,2019
"39",10,"male",133000.198549479,2019
"40",15,"male",133150.38252361,2019
"41",20,"male",127631.322527108,2019
"42",25,"male",112713.533681261,2019
"43",30,"male",105115.486669583,2019
"44",35,"male",100964.15945448,2019
"45",40,"male",99033.7624398191,2019
"46",45,"male",92685.1739324561,2019
"47",50,"male",81699.0473617431,2019
"48",55,"male",67252.3518362624,2019
"49",60,"male",57477.5313469002,2019
"50",65,"male",44081.1313387576,2019
"51",70,"male",33410.583831576,2019
"52",75,"male",23186.0565377674,2019
"53",80,"male",13981.8809059432,2019
"54",85,"male",10207.3478873112,2019
"55",0,"female",116834.745805394,2019
"56",5,"female",123305.295844495,2019
"57",10,"female",128160.058414607,2019
"58",15,"female",129668.069971848,2019
"59",20,"female",128561.626584657,2019
"60",25,"female",117964.273530517,2019
"61",30,"female",109958.16443204,2019
"62",35,"female",104923.956165023,2019
"63",40,"female",103318.933088993,2019
"64",45,"female",96632.3542203286,2019
"65",50,"female",87243.4053651574,2019
"66",55,"female",72971.5075102502,2019
"67",60,"female",62818.0863066773,2019
"68",65,"female",48384.0065686252,2019
"69",70,"female",35687.6581117269,2019
"70",75,"female",24384.0291788211,2019
"71",80,"female",15983.5911254535,2019
"72",85,"female",13356.1263171922,2019
"73",0,"male",118976.202085419,2021
"74",5,"male",126956.866049774,2021
"75",10,"male",131889.826173366,2021
"76",15,"male",131728.199374933,2021
"77",20,"male",128887.423072256,2021
"78",25,"male",115115.742310359,2021
"79",30,"male",105807.968874391,2021
"80",35,"male",100607.356586911,2021
"81",40,"male",101959.157285078,2021
"82",45,"male",97818.501470049,2021
"83",50,"male",86441.7247895471,2021
"84",55,"male",71434.1887129785,2021
"85",60,"male",61866.2111878755,2021
"86",65,"male",47335.78150864,2021
"87",70,"male",35507.4964444567,2021
"88",75,"male",25343.4328392348,2021
"89",80,"male",15392.3450168374,2021
"90",85,"male",10972.6500804681,2021
"91",0,"female",115249.676021527,2021
"92",5,"female",121799.489240764,2021
"93",10,"female",127007.280776354,2021
"94",15,"female",128124.815213484,2021
"95",20,"female",130124.316386105,2021
"96",25,"female",120752.272748553,2021
"97",30,"female",110909.985970275,2021
"98",35,"female",104720.396607695,2021
"99",40,"female",106451.518156296,2021
"100",45,"female",101383.832731009,2021
"101",50,"female",92006.1267873776,2021
"102",55,"female",78296.5845514465,2021
"103",60,"female",68439.8427550296,2021
"104",65,"female",52913.7489497291,2021
"105",70,"female",38338.1650372004,2021
"106",75,"female",26675.9085887472,2021
"107",80,"female",17553.3240742325,2021
"108",85,"female",14353.0275261207,2021
