"","year","sex","age","pop"
"1",2010,"male",0,129174.238811175
"2",2010,"male",5,135244.215244772
"3",2010,"male",10,138125.596714243
"4",2010,"male",15,139758.044891721
"5",2010,"male",20,122116.360159473
"6",2010,"male",25,102486.82340299
"7",2010,"male",30,102048.090405722
"8",2010,"male",35,102589.227901208
"9",2010,"male",40,86848.050180009
"10",2010,"male",45,72681.0906274963
"11",2010,"male",50,63341.1980105999
"12",2010,"male",55,51232.3680791383
"13",2010,"male",60,41244.9176058624
"14",2010,"male",65,31968.2748261008
"15",2010,"male",70,25389.2877984191
"16",2010,"male",75,15522.3132053999
"17",2010,"male",80,9063.80205797493
"18",2010,"male",85,7367.10007769384
"19",2020,"male",0,120134.046821097
"20",2020,"male",5,127905.80747429
"21",2020,"male",10,132609.293834065
"22",2020,"male",15,132649.323505212
"23",2020,"male",20,128070.929867772
"24",2020,"male",25,113551.16740097
"25",2020,"male",30,105358.094458953
"26",2020,"male",35,100838.744586455
"27",2020,"male",40,100051.160806637
"28",2020,"male",45,94456.0135220629
"29",2020,"male",50,83333.7693938637
"30",2020,"male",55,68691.9164300629
"31",2020,"male",60,58981.7189515748
"32",2020,"male",65,45197.5016920989
"33",2020,"male",70,34132.2998452843
"34",2020,"male",75,23921.7314774584
"35",2020,"male",80,14461.7194436392
"36",2020,"male",85,10469.7604885028
"37",2010,"female",0,124259.13839659
"38",2010,"female",5,130331.602450759
"39",2010,"female",10,133490.809655002
"40",2010,"female",15,136862.839206656
"41",2010,"female",20,121743.417629563
"42",2010,"female",25,106168.234987733
"43",2010,"female",30,105765.679509848
"44",2010,"female",35,105846.993708623
"45",2010,"female",40,90296.9080417232
"46",2010,"female",45,77821.7037433009
"47",2010,"female",50,68646.2497087325
"48",2010,"female",55,53111.2222267911
"49",2010,"female",60,42676.903929712
"50",2010,"female",65,32314.8649204326
"51",2010,"female",70,25833.8221143962
"52",2010,"female",75,16260.8319969297
"53",2010,"female",80,10475.477335965
"54",2010,"female",85,9653.30043724386
"55",2020,"female",0,116275.77100883
"56",2020,"female",5,122774.508922536
"57",2020,"female",10,127754.139328849
"58",2020,"female",15,129124.138128335
"59",2020,"female",20,129108.126455003
"60",2020,"female",25,118935.710241141
"61",2020,"female",30,110291.408100922
"62",2020,"female",35,104852.442815891
"63",2020,"female",40,104408.118880922
"64",2020,"female",45,98274.6472651078
"65",2020,"female",50,88886.8030445242
"66",2020,"female",55,74798.5319713575
"67",2020,"female",60,64737.1967412383
"68",2020,"female",65,49928.4003681228
"69",2020,"female",70,36596.6808599024
"70",2020,"female",75,25165.3468302971
"71",2020,"female",80,16518.0425013276
"72",2020,"female",85,13697.9865356944
